store,title,validFrom,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Maxima","Kietasis sūris WELL DONE*, 37 % rieb. s. m., brandintas 12 mėn., 180 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f59277c.png","2.49","2.79","true","0","Iki 02.23","","",""
"Maxima","Plėšomosios sūrio lazdelės MIAU*, 40 % rieb. s. m., 100 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f4aa737.png","2.29","2.59","true","0","Iki 02.23","","",""
"Maxima","Grūdėta varškė PIENO ŽVAIGŽDĖS*, 7 % rieb., 350 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f528bd5.png","2.55","2.89","true","0","Iki 02.23","","",""
"Maxima","Valgomasis jogurtas ACTIVIA*, 3 rūšių, 2,6–2,9 % rieb., 1 pak. (4 ind. × 120 g)","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f4c5385.png","2.59","2.99","true","0","Iki 02.23","","",""
"Maxima","Geriamasis jogurtas VILVI*, 3 rūšių, 2 % rieb., 750 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f578185.png","1.69","1.89","true","0","Iki 02.23","","",""
"Maxima","Glaistytas varškės sūrelis WELL DONE*, 3 rūšių, 21–23 % rieb., 45 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ee1844d.png","0.35","0.45","false","0","1 kg – 7,78 €","-22%","",""
"Maxima","Varškės sūrelis RYTAS*, 5 rūšių, 7,5–8 % rieb., 2 vnt. × 100 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31ee00341.png","1.95","","false","0","1 kg – 9,75 €","","",""
"Maxima","Lydytas sūris MINI BABY BEL MIX*, 45–48 % rieb. s. m., 1 pak. (9 vnt. × 20 g)","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a867492.png","4.99","6.29","true","3","Iki 03.02 , nuo","","",""
"Maxima","Lydytas sūris MINI BABY BEL ROLLS*, 38 % rieb. s. m., 1 pak. (5 vnt. × 17 g)","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a0336e2.png","2.69","3.29","true","3","Iki 03.02 , nuo","","",""
"Maxima","Lydytas sūris LA VACHE QUI RIT su duonos lazdelėmis*, 15,5 % rieb. s. m., 175 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a0cec0f.png","3.89","4.39","true","0","Iki 03.02","","",""
"Maxima","Sūris GRANA PADANO*, 32 % rieb. s. m., 1 pak. (5 vnt. × 20 g)","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a04b15e.png","3.49","4.49","true","2","Iki 03.02 , nuo","","",""
"Maxima","Bri sūris ILE DE FRANCE*, 50 % rieb. s. m., 1 pak. (5 vnt. × 25 g)","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a0a21b2.png","4.29","5.49","true","3","Iki 03.02 , nuo","","",""
"Maxima","Pjaustytas sūris TETE DE MOINET*, SKVN, 51 % rieb. s. m., 95 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a08c6c7.png","5.99","7.09","false","2","1 kg – 63,05 €","-15%","",""
"Maxima","Paprikos su sūriu WELL DONE*, 2 rūšių, 49–59 % rieb. s. m., 150 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a077898.png","1.99","2.59","true","0","Iki 03.02","","",""
"Maxima","Kreminio sūrio suktinukai WELL DONE*, 2 rūšių, 67 % rieb. s. m., 100 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a062b57.png","1.69","1.99","true","0","Iki 03.02","","",""
"Maxima","Kepti sūrio gabaliukai JON-CHEDAR*, 3 rūšių, 42–43 % rieb. s. m., 80 g","","2026-03-02","https://offers.maxima.lt/media/MarketingOffer/6980b9a0b6a6f.png","1.19","1.69","true","0","Iki 03.02","","",""
