store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Rimi","Švieži kopūstai, 1 kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_283755_KGM_LT","1.29","1.85","false","","1,29 €/kg","","",""
"Rimi","Ananasai, 1 kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_269165_KGM_LT","1.39","2.49","false","","1,39 €/kg","","",""
"Rimi","Putpelių kiaušiniai RIMI, 18 vnt.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_809108_PCE_LT","1.69","2.35","false","","0,09 €/vnt.","","",""
"Rimi","Žal.bes.vynuog. Ivory 1kl,kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_269179_KGM_LT","3.79","4.99","true","","4,99 €/kg","","","3,79 €/kg"
"Rimi","Gaz.natūral. mineralinis vanduo BIRUTĖ, 1,5l","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_1359696_PCE_LT","0.55","0.79","true","","0,53 €/l","","","0,37 €/l"
"Rimi","Džiūvėsėliai RIMI, 400g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_807909_PCE_LT","1.29","2.15","true","","5,37 €/kg","","","3,22 €/kg"
"Rimi","Petražolės RIMI, 50g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_817310_PCE_LT","0.57","0.95","false","","11,40 €/kg","","",""
"Rimi","Liet. fas. obuoliai GALA, 2kl, 1kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_945750_KGM_LT","1.59","1.99","true","","1,99 €/kg","","","1,59 €/kg"
"Rimi","Varškės sūrelis su vanile KARUMS, 45 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_269082_PCE_LT","0.35","0.65","false","","7,78 €/kg","","",""
"Rimi","Sulankst.rankšl. Grite Blossom, 120","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7075847_PCE_LT","0.94","1.89","true","","0,02 €/vnt.","-50%","","0,01 €/vnt."
"Rimi","Virtos GIMINIŲ dešrelės, a.r., 260g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_259647_PCE_LT","1.35","2.69","true","","10,35 €/kg","","","5,19 €/kg"
"Rimi","Špinatai fasuoti indeliuose PRIMAVEGA, 100 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_262003_PCE_LT","0.9","1.29","true","","12,90 €/kg","","","9,00 €/kg"
"Rimi","Fetos sūris OLYMPUS, 43 % rieb., 150 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_294376_PCE_LT","2.79","3.29","false","","18,60 €/kg","","",""
"Rimi","Pienas be laktozės MŪ, UAT, 2,5 % rieb., 1 l","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_249008_PCE_LT","1.79","2.29","false","","1,79 €/l","","",""
